track 2: IDENTIFIED as 06 (UNKNOWN, conf=0.53)
track 183: IDENTIFIED as 06 (UNKNOWN, conf=0.27)
track 185: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 187: IDENTIFIED as 06 (UNKNOWN, conf=0.23)
track 188: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 193: IDENTIFIED as 02 (UNKNOWN, conf=0.45)
track 194: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 195: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 197: IDENTIFIED as 09 (CONFIRMED, conf=0.84)
track 199: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 203: IDENTIFIED as 06 (UNKNOWN, conf=0.44)
track 204: IDENTIFIED as 06 (CANDIDATE, conf=0.43)
track 205: IDENTIFIED as 06 (UNKNOWN, conf=0.33)
track 208: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 211: IDENTIFIED as 06 (UNKNOWN, conf=0.27)
track 215: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 220: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 225: IDENTIFIED as 06 (UNKNOWN, conf=0.32)
track 228: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 229: IDENTIFIED as 14 (UNKNOWN, conf=0.23)
track 234: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 235: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 236: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 243: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 245: IDENTIFIED as 06 (CANDIDATE, conf=0.42)
track 250: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 251: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 253: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 254: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 257: IDENTIFIED as 06 (CONFIRMED, conf=0.79)
track 259: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 262: IDENTIFIED as 14 (UNKNOWN, conf=0.53)
track 264: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 265: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 268: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 271: IDENTIFIED as 22 (CONFIRMED, conf=0.71)
track 272: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 273: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 277: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 281: IDENTIFIED as 14 (UNKNOWN, conf=0.32)
track 287: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 288: IDENTIFIED as 06 (UNKNOWN, conf=0.37)
track 292: IDENTIFIED as 23 (UNKNOWN, conf=0.52)
track 293: IDENTIFIED as 14 (UNKNOWN, conf=0.44)
track 294: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 295: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 296: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 305: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 306: IDENTIFIED as 18 (UNKNOWN, conf=0.45)
track 307: IDENTIFIED as 23 (UNKNOWN, conf=0.32)
track 308: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 311: IDENTIFIED as 23 (UNKNOWN, conf=0.38)
track 312: IDENTIFIED as 21 (CANDIDATE, conf=0.74)
track 318: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 319: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 320: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 321: IDENTIFIED as 17 (CONFIRMED, conf=0.77)
track 322: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 325: IDENTIFIED as 06 (UNKNOWN, conf=0.42)
track 326: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 328: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 330: NOT RECOGNIZED — rejected: extreme yaw x5
track 333: IDENTIFIED as 18 (UNKNOWN, conf=0.55)
track 334: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 336: IDENTIFIED as 23 (UNKNOWN, conf=0.52)
track 337: IDENTIFIED as 14 (UNKNOWN, conf=0.30)
track 338: IDENTIFIED as 06 (UNKNOWN, conf=0.53)
track 339: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 341: IDENTIFIED as 23 (UNKNOWN, conf=0.29)
track 346: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 349: IDENTIFIED as 18 (UNKNOWN, conf=0.43)
track 350: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 351: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 354: IDENTIFIED as 06 (UNKNOWN, conf=0.36)
track 356: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 357: IDENTIFIED as 18 (UNKNOWN, conf=0.45)
track 359: IDENTIFIED as 06 (UNKNOWN, conf=0.53)
track 366: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 367: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 369: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 370: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 371: IDENTIFIED as 06 (UNKNOWN, conf=0.47)
track 375: IDENTIFIED as 06 (CONFIRMED, conf=0.76)
track 376: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 377: IDENTIFIED as 23 (UNKNOWN, conf=0.55)
track 379: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 381: IDENTIFIED as 23 (UNKNOWN, conf=0.34)
track 382: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 383: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 385: IDENTIFIED as 18 (UNKNOWN, conf=0.44)
track 387: IDENTIFIED as 23 (UNKNOWN, conf=0.48)
track 388: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 390: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 391: IDENTIFIED as 18 (UNKNOWN, conf=0.45)
track 393: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 394: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 396: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 400: NOT RECOGNIZED — best sim 0.22 -> 16 (threshold 0.45)
track 402: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 404: IDENTIFIED as 18 (UNKNOWN, conf=0.45)
track 407: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 408: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
