track 1: NOT RECOGNIZED — rejected: extreme yaw x1
track 2: IDENTIFIED as 28 (CANDIDATE, conf=0.71)
track 221: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 222: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 223: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 224: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 225: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 226: NOT RECOGNIZED — face never detected (18 looks)
track 227: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 228: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 229: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 230: IDENTIFIED as 28 (CANDIDATE, conf=0.67)
track 231: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 232: IDENTIFIED as 30 (LOCKED, conf=0.95)
track 233: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 234: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 235: IDENTIFIED as 30 (UNKNOWN, conf=0.43)
track 236: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 237: IDENTIFIED as 30 (UNKNOWN, conf=0.38)
track 238: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 239: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 240: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 241: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.78)
track 242: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 245: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 246: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 247: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 248: IDENTIFIED as 30 (UNKNOWN, conf=0.38)
track 249: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 250: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 251: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 252: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 253: IDENTIFIED as 28 (CANDIDATE, conf=0.55)
track 254: IDENTIFIED as 30 (UNKNOWN, conf=0.43)
track 255: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 256: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 257: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 258: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 259: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 261: IDENTIFIED as 30 (UNKNOWN, conf=0.48)
track 262: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 264: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 265: IDENTIFIED as 30 (UNKNOWN, conf=0.55)
track 266: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 267: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 268: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 269: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 272: NOT RECOGNIZED — face never detected (13 looks)
track 273: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 275: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 276: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 279: IDENTIFIED as 30 (CONFIRMED, conf=0.86)
track 280: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 282: IDENTIFIED as 30 (UNKNOWN, conf=0.29)
track 283: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 284: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 285: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 286: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 287: IDENTIFIED as 30 (UNKNOWN, conf=0.63)
track 288: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 289: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 290: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 291: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 292: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 293: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 294: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 295: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 296: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 298: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 299: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 300: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 301: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 302: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 304: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 305: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 306: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 307: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 309: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 311: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 312: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 313: IDENTIFIED as 28 (CANDIDATE, conf=0.53)
track 314: IDENTIFIED as 30 (UNKNOWN, conf=0.56)
track 316: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 320: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 322: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 323: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 325: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 326: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 329: IDENTIFIED as 30 (CANDIDATE, conf=0.53)
track 332: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 335: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 336: IDENTIFIED as 29 (LOCKED, conf=0.80)
track 337: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 338: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 339: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 340: IDENTIFIED as 30 (UNKNOWN, conf=0.27)
track 342: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 343: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 344: IDENTIFIED as 28 (CANDIDATE, conf=0.67)
track 345: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 347: IDENTIFIED as 02 (UNKNOWN, conf=0.23)
track 349: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 351: IDENTIFIED as 14 (UNKNOWN, conf=0.40)
track 353: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 354: IDENTIFIED as 28 (CANDIDATE, conf=0.59)
track 355: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 356: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 357: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 360: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 361: IDENTIFIED as 14 (UNKNOWN, conf=0.62)
track 362: IDENTIFIED as 14 (UNKNOWN, conf=0.19)
track 363: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 365: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 366: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 367: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 368: IDENTIFIED as 30 (CANDIDATE, conf=0.58)
track 370: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 371: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 376: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 377: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 378: IDENTIFIED as 10 (CANDIDATE, conf=0.61)
track 381: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 384: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 385: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 386: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 388: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 390: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 393: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 394: IDENTIFIED as 28 (UNKNOWN, conf=0.40)
track 395: IDENTIFIED as 30 (UNKNOWN, conf=0.57)
track 396: IDENTIFIED as 30 (CONFIRMED, conf=0.87)
track 397: IDENTIFIED as 30 (CANDIDATE, conf=0.61)
track 399: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 400: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 401: IDENTIFIED as 30 (CANDIDATE, conf=0.55)
track 402: IDENTIFIED as 30 (UNKNOWN, conf=0.19)
track 404: IDENTIFIED as 28 (CANDIDATE, conf=0.64)
track 405: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 407: IDENTIFIED as 30 (UNKNOWN, conf=0.60)
track 408: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 409: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 411: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 413: IDENTIFIED as 30 (CONFIRMED, conf=0.86)
track 414: IDENTIFIED as 30 (CANDIDATE, conf=0.62)
track 415: IDENTIFIED as 28 (CANDIDATE, conf=0.55)
track 416: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 418: IDENTIFIED as 23 (CANDIDATE, conf=0.65)
track 419: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 420: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 421: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 422: IDENTIFIED as 02 (UNKNOWN, conf=0.15)
track 423: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 424: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 425: IDENTIFIED as 02 (UNKNOWN, conf=0.32)
track 426: IDENTIFIED as 14 (UNKNOWN, conf=0.23)
track 427: IDENTIFIED as 02 (UNKNOWN, conf=0.31)
track 428: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 429: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 431: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 433: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 434: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 436: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 437: IDENTIFIED as 02 (UNKNOWN, conf=0.32)
track 439: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 440: IDENTIFIED as 30 (UNKNOWN, conf=0.36)
track 441: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 442: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 443: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 445: IDENTIFIED as 28 (CONFIRMED, conf=0.83)
track 446: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 448: IDENTIFIED as 02 (UNKNOWN, conf=0.59)
track 449: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 450: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 451: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 453: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.69)
track 454: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 456: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 457: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 458: IDENTIFIED as 28 (CANDIDATE, conf=0.60)
track 459: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 460: IDENTIFIED as 30 (CANDIDATE, conf=0.53)
track 461: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 462: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 463: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 464: IDENTIFIED as 23 (CANDIDATE, conf=0.31)
track 465: IDENTIFIED as 30 (UNKNOWN, conf=0.60)
track 466: IDENTIFIED as 30 (CANDIDATE, conf=0.54)
track 467: IDENTIFIED as 14 (UNKNOWN, conf=0.53)
track 468: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 471: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 472: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 473: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 475: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 477: IDENTIFIED as 28 (CONFIRMED, conf=0.79)
track 478: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 479: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 482: IDENTIFIED as 30 (UNKNOWN, conf=0.60)
track 483: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 485: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 487: NOT RECOGNIZED — face never detected (2 looks)
track 490: IDENTIFIED as 14 (UNKNOWN, conf=0.46)
track 491: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 492: IDENTIFIED as 10 (CANDIDATE, conf=0.56)
track 494: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 495: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 496: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 498: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 501: NOT RECOGNIZED — rejected: extreme yaw x1
track 502: IDENTIFIED as 30 (UNKNOWN, conf=0.58)
track 503: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 504: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 505: IDENTIFIED as 28 (CANDIDATE, conf=0.54)
track 506: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 507: IDENTIFIED as 28 (CANDIDATE, conf=0.46)
track 508: IDENTIFIED as 02 (CANDIDATE, conf=0.50)
track 509: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 511: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 512: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 513: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 514: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 515: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 517: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 518: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 519: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 522: NOT RECOGNIZED — rejected: too small x10
track 523: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 524: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 525: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 526: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 528: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 529: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 533: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 534: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 535: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 536: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 537: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 538: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 539: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 540: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 541: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 542: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 543: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 545: IDENTIFIED as 10 (UNKNOWN, conf=0.40)
track 547: IDENTIFIED as 30 (UNKNOWN, conf=0.57)
track 549: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 550: IDENTIFIED as 30 (UNKNOWN, conf=0.52)
track 551: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 552: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 553: IDENTIFIED as 28 (CANDIDATE, conf=0.58)
track 554: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 556: IDENTIFIED as 10 (UNKNOWN, conf=0.42)
track 557: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 559: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 561: IDENTIFIED as 10 (UNKNOWN, conf=0.44)
track 562: IDENTIFIED as 30 (UNKNOWN, conf=0.36)
track 564: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 565: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 566: IDENTIFIED as 10 (UNKNOWN, conf=0.43)
track 567: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 568: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 570: IDENTIFIED as 10 (UNKNOWN, conf=0.40)
track 571: IDENTIFIED as 28 (CANDIDATE, conf=0.56)
track 572: IDENTIFIED as 10 (UNKNOWN, conf=0.44)
track 574: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
