track 1: IDENTIFIED as 29 (LOCKED, conf=0.96)
track 161: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 163: IDENTIFIED as 03 (UNKNOWN, conf=0.28)
track 164: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 165: IDENTIFIED as 29 (CANDIDATE, conf=0.51)
track 166: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 167: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 168: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 170: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 171: IDENTIFIED as 33 (CANDIDATE, conf=0.61)
track 174: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 175: IDENTIFIED as 03 (UNKNOWN, conf=0.26)
track 176: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 177: IDENTIFIED as 29 (LOCKED, conf=0.99)
track 178: IDENTIFIED as 21 (REVIEW_REQUIRED, conf=0.78)
track 182: IDENTIFIED as 29 (REVIEW_REQUIRED, conf=0.60)
track 183: IDENTIFIED as 29 (REVIEW_REQUIRED, conf=0.70)
track 184: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 185: IDENTIFIED as 29 (CANDIDATE, conf=0.66)
track 186: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 187: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 188: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 190: IDENTIFIED as 05 (UNKNOWN, conf=0.65)
track 192: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 194: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 195: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 196: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 198: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 199: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 202: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 204: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 206: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 207: IDENTIFIED as 29 (LOCKED, conf=0.92)
track 208: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 209: IDENTIFIED as 05 (UNKNOWN, conf=0.33)
track 211: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 213: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 216: NOT RECOGNIZED — best sim 0.40 -> 21 (threshold 0.45)
track 217: IDENTIFIED as 33 (CANDIDATE, conf=0.72)
track 218: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 219: IDENTIFIED as 05 (LOCKED, conf=0.95)
track 220: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 222: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 225: IDENTIFIED as 29 (REVIEW_REQUIRED, conf=0.77)
track 226: IDENTIFIED as 05 (UNKNOWN, conf=0.28)
track 227: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 228: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 229: IDENTIFIED as 03 (REVIEW_REQUIRED, conf=0.79)
track 230: IDENTIFIED as 03 (UNKNOWN, conf=0.52)
track 234: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 236: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 242: IDENTIFIED as 03 (UNKNOWN, conf=0.40)
track 243: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 244: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 245: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 246: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 247: IDENTIFIED as 29 (CANDIDATE, conf=0.66)
track 248: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 250: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 252: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 253: IDENTIFIED as 03 (CANDIDATE, conf=0.46)
track 254: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 255: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 259: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 260: IDENTIFIED as 29 (CANDIDATE, conf=0.72)
track 261: IDENTIFIED as 03 (UNKNOWN, conf=0.43)
track 262: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 264: IDENTIFIED as 29 (REVIEW_REQUIRED, conf=0.85)
track 265: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 266: IDENTIFIED as 03 (UNKNOWN, conf=0.23)
track 267: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 268: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 271: IDENTIFIED as 03 (LOCKED, conf=0.95)
track 273: IDENTIFIED as 03 (UNKNOWN, conf=0.40)
track 274: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 275: IDENTIFIED as 04 (CONFIRMED, conf=0.83)
track 276: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 278: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 281: IDENTIFIED as 05 (UNKNOWN, conf=0.42)
track 283: IDENTIFIED as 05 (UNKNOWN, conf=0.34)
track 284: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 286: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 289: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 291: IDENTIFIED as 29 (CANDIDATE, conf=0.58)
track 292: IDENTIFIED as 05 (CANDIDATE, conf=0.78)
track 293: NOT RECOGNIZED — rejected: extreme yaw x2
track 294: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 296: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 298: IDENTIFIED as 21 (REVIEW_REQUIRED, conf=0.84)
track 299: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 300: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 302: IDENTIFIED as 29 (CANDIDATE, conf=0.48)
track 303: IDENTIFIED as 03 (CANDIDATE, conf=0.48)
track 307: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 308: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 309: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 311: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 313: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 314: IDENTIFIED as 04 (REVIEW_REQUIRED, conf=0.85)
track 315: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 317: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 319: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 320: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 321: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 323: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 324: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 325: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 326: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 327: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 329: IDENTIFIED as 05 (UNKNOWN, conf=0.21)
track 330: IDENTIFIED as 03 (UNKNOWN, conf=0.23)
track 331: IDENTIFIED as 21 (CONFIRMED, conf=0.72)
track 332: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 333: IDENTIFIED as 14 (UNKNOWN, conf=0.30)
track 335: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 336: IDENTIFIED as 21 (CANDIDATE, conf=0.50)
track 339: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 340: IDENTIFIED as 14 (UNKNOWN, conf=0.61)
track 342: IDENTIFIED as 21 (CONFIRMED, conf=0.85)
track 343: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 344: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 345: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 346: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 347: NOT RECOGNIZED — face never detected (65 looks)
track 348: IDENTIFIED as 03 (UNKNOWN, conf=0.28)
track 349: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 350: IDENTIFIED as 29 (CANDIDATE, conf=0.54)
track 351: IDENTIFIED as 05 (UNKNOWN, conf=0.19)
track 352: IDENTIFIED as 29 (UNKNOWN, conf=0.66)
track 354: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 355: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 356: IDENTIFIED as 29 (UNKNOWN, conf=0.32)
track 357: IDENTIFIED as 21 (CANDIDATE, conf=0.70)
track 358: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 362: IDENTIFIED as 29 (CANDIDATE, conf=0.62)
track 363: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 364: IDENTIFIED as 29 (CANDIDATE, conf=0.57)
track 365: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 369: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 371: IDENTIFIED as 05 (UNKNOWN, conf=0.33)
track 375: IDENTIFIED as 29 (CANDIDATE, conf=0.51)
track 379: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 380: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 381: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 383: IDENTIFIED as 03 (UNKNOWN, conf=0.48)
track 384: IDENTIFIED as 33 (CANDIDATE, conf=0.56)
track 386: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 388: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 389: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 390: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 391: IDENTIFIED as 03 (UNKNOWN, conf=0.41)
track 401: NOT RECOGNIZED — face never detected (1 looks)
track 402: IDENTIFIED as 21 (CANDIDATE, conf=0.62)
track 403: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 404: IDENTIFIED as 29 (UNKNOWN, conf=0.25)
track 406: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 408: IDENTIFIED as 21 (REVIEW_REQUIRED, conf=0.59)
track 414: IDENTIFIED as 29 (UNKNOWN, conf=0.62)
track 415: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 416: IDENTIFIED as 33 (CANDIDATE, conf=0.53)
track 417: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 422: IDENTIFIED as 33 (LOCKED, conf=0.89)
track 427: IDENTIFIED as 03 (UNKNOWN, conf=0.57)
track 429: IDENTIFIED as 03 (UNKNOWN, conf=0.56)
track 433: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 435: IDENTIFIED as 33 (CANDIDATE, conf=0.71)
track 436: IDENTIFIED as 03 (UNKNOWN, conf=0.33)
track 439: IDENTIFIED as 33 (REVIEW_REQUIRED, conf=0.63)
track 440: NOT RECOGNIZED — face never detected (6 looks)
track 441: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 445: IDENTIFIED as 29 (LOCKED, conf=0.93)
track 447: IDENTIFIED as 33 (CANDIDATE, conf=0.56)
track 448: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 450: IDENTIFIED as 05 (UNKNOWN, conf=0.38)
track 452: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 453: IDENTIFIED as 21 (REVIEW_REQUIRED, conf=0.82)
track 454: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 455: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 456: IDENTIFIED as 03 (UNKNOWN, conf=0.58)
track 457: IDENTIFIED as 29 (CANDIDATE, conf=0.54)
track 458: IDENTIFIED as 03 (UNKNOWN, conf=0.36)
track 459: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 461: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 463: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 464: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 465: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 471: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 474: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 475: IDENTIFIED as 03 (UNKNOWN, conf=0.36)
track 476: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 479: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 480: IDENTIFIED as 21 (REVIEW_REQUIRED, conf=0.73)
track 483: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 484: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 486: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 488: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 490: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 492: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 494: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 497: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 499: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 500: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 501: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 502: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 503: IDENTIFIED as 03 (UNKNOWN, conf=0.39)
track 504: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 505: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 506: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 507: IDENTIFIED as 33 (UNKNOWN, conf=0.27)
track 508: IDENTIFIED as 03 (UNKNOWN, conf=0.40)
track 510: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 514: IDENTIFIED as 29 (UNKNOWN, conf=0.23)
track 516: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 518: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 520: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 522: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 524: IDENTIFIED as 03 (UNKNOWN, conf=0.27)
track 526: IDENTIFIED as 03 (UNKNOWN, conf=0.33)
track 528: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 530: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 531: IDENTIFIED as 03 (UNKNOWN, conf=0.34)
track 533: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 534: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 535: IDENTIFIED as 03 (UNKNOWN, conf=0.23)
track 537: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 538: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 539: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 541: IDENTIFIED as 29 (REVIEW_REQUIRED, conf=0.71)
track 542: IDENTIFIED as 03 (UNKNOWN, conf=0.39)
track 543: IDENTIFIED as 03 (UNKNOWN, conf=0.38)
track 547: IDENTIFIED as 04 (UNKNOWN, conf=0.25)
track 548: IDENTIFIED as 05 (UNKNOWN, conf=0.26)
track 549: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 551: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 555: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 556: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 557: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 558: IDENTIFIED as 05 (CANDIDATE, conf=0.40)
track 562: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 563: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 565: IDENTIFIED as 29 (UNKNOWN, conf=0.38)
track 567: IDENTIFIED as 29 (UNKNOWN, conf=0.32)
track 568: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 571: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 573: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 575: IDENTIFIED as 03 (UNKNOWN, conf=0.40)
track 578: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 580: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 590: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 593: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 595: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 596: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 600: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 601: IDENTIFIED as 03 (UNKNOWN, conf=0.38)
track 602: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 604: IDENTIFIED as 04 (UNKNOWN, conf=0.36)
track 605: IDENTIFIED as 03 (UNKNOWN, conf=0.36)
track 607: NOT RECOGNIZED — best sim 0.36 -> 28 (threshold 0.45)
track 610: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 615: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 617: IDENTIFIED as 04 (UNKNOWN, conf=0.56)
track 618: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 619: IDENTIFIED as 04 (CONFIRMED, conf=0.78)
track 621: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 624: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 625: IDENTIFIED as 03 (UNKNOWN, conf=0.21)
track 627: IDENTIFIED as 03 (UNKNOWN, conf=0.26)
track 629: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 630: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 631: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 632: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 635: IDENTIFIED as 14 (UNKNOWN, conf=0.34)
track 636: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 637: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 638: IDENTIFIED as 29 (CONFIRMED, conf=0.84)
track 639: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 640: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 642: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 645: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 648: NOT RECOGNIZED — best sim 0.22 -> 27 (threshold 0.45)
track 649: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 651: IDENTIFIED as 03 (UNKNOWN, conf=0.59)
track 654: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 655: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 656: IDENTIFIED as 05 (UNKNOWN, conf=0.57)
track 657: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 658: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 659: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 661: IDENTIFIED as 03 (UNKNOWN, conf=0.30)
track 662: IDENTIFIED as 03 (UNKNOWN, conf=0.34)
track 663: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 664: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 665: NOT RECOGNIZED — best sim 0.41 -> 29 (threshold 0.45)
track 666: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 668: IDENTIFIED as 05 (UNKNOWN, conf=0.34)
track 669: NOT RECOGNIZED — face never detected (14 looks)
track 670: IDENTIFIED as 03 (UNKNOWN, conf=0.36)
track 671: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 672: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 673: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 674: IDENTIFIED as 04 (CANDIDATE, conf=0.69)
track 675: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 677: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 678: IDENTIFIED as 04 (UNKNOWN, conf=0.63)
track 679: IDENTIFIED as 03 (UNKNOWN, conf=0.36)
track 680: IDENTIFIED as 04 (UNKNOWN, conf=0.23)
track 681: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 682: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 683: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 685: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 686: IDENTIFIED as 04 (CANDIDATE, conf=0.84)
track 689: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 690: IDENTIFIED as 14 (UNKNOWN, conf=0.27)
track 691: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 692: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 693: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 701: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 702: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 704: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
