track 1: IDENTIFIED as 18 (UNKNOWN, conf=0.55)
track 91: IDENTIFIED as 06 (UNKNOWN, conf=0.52)
track 92: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 104: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 107: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 109: IDENTIFIED as 06 (UNKNOWN, conf=0.40)
track 116: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 120: IDENTIFIED as 06 (UNKNOWN, conf=0.36)
track 121: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 123: IDENTIFIED as 06 (UNKNOWN, conf=0.23)
track 124: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 126: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 128: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 130: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 131: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 132: IDENTIFIED as 21 (UNKNOWN, conf=0.30)
track 133: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 134: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 141: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 142: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 143: IDENTIFIED as 21 (UNKNOWN, conf=0.30)
track 148: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 150: IDENTIFIED as 14 (CANDIDATE, conf=0.58)
track 153: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 154: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 155: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 156: IDENTIFIED as 06 (CANDIDATE, conf=0.43)
track 157: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 159: IDENTIFIED as 06 (UNKNOWN, conf=0.28)
track 160: IDENTIFIED as 06 (UNKNOWN, conf=0.58)
track 161: IDENTIFIED as 14 (CANDIDATE, conf=0.55)
track 167: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 168: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 169: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 170: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 173: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 174: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 177: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 179: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 181: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 182: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 183: IDENTIFIED as 06 (UNKNOWN, conf=0.25)
track 184: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 187: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 191: IDENTIFIED as 23 (LOCKED, conf=0.93)
track 194: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 196: IDENTIFIED as 14 (UNKNOWN, conf=0.56)
track 198: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 199: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 203: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 206: IDENTIFIED as 23 (UNKNOWN, conf=0.28)
track 207: IDENTIFIED as 23 (UNKNOWN, conf=0.33)
track 208: IDENTIFIED as 21 (UNKNOWN, conf=0.30)
track 209: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 211: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 213: IDENTIFIED as 06 (UNKNOWN, conf=0.27)
track 214: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 218: IDENTIFIED as 18 (UNKNOWN, conf=0.54)
track 220: IDENTIFIED as 23 (UNKNOWN, conf=0.51)
track 221: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 222: IDENTIFIED as 14 (UNKNOWN, conf=0.46)
track 224: IDENTIFIED as 23 (CANDIDATE, conf=0.56)
track 225: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 226: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 227: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 228: IDENTIFIED as 06 (UNKNOWN, conf=0.40)
track 229: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 230: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 232: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 237: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 238: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 243: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 244: IDENTIFIED as 06 (UNKNOWN, conf=0.42)
track 247: IDENTIFIED as 17 (CANDIDATE, conf=0.70)
track 250: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 253: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 254: IDENTIFIED as 18 (UNKNOWN, conf=0.42)
track 257: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 258: IDENTIFIED as 23 (UNKNOWN, conf=0.58)
track 260: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 263: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 264: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 271: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 272: IDENTIFIED as 23 (UNKNOWN, conf=0.38)
track 280: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 282: IDENTIFIED as 23 (CANDIDATE, conf=0.60)
track 285: IDENTIFIED as 17 (CANDIDATE, conf=0.74)
track 286: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 287: IDENTIFIED as 23 (CANDIDATE, conf=0.26)
track 290: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 291: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 294: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 295: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 296: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 298: IDENTIFIED as 21 (LOCKED, conf=0.95)
track 299: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 300: IDENTIFIED as 06 (UNKNOWN, conf=0.47)
track 302: IDENTIFIED as 22 (CANDIDATE, conf=0.46)
track 303: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 304: IDENTIFIED as 06 (CONFIRMED, conf=0.85)
track 305: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 307: NOT RECOGNIZED — best sim 0.16 -> 15 (threshold 0.45)
track 309: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 314: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 315: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 319: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 320: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 322: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 324: IDENTIFIED as 14 (UNKNOWN, conf=0.36)
track 325: IDENTIFIED as 06 (UNKNOWN, conf=0.43)
track 327: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 329: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 330: IDENTIFIED as 18 (UNKNOWN, conf=0.46)
track 332: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 335: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 337: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 339: IDENTIFIED as 23 (UNKNOWN, conf=0.34)
track 344: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 345: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 350: IDENTIFIED as 02 (UNKNOWN, conf=0.53)
track 352: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 353: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 361: NOT RECOGNIZED — face never detected (8 looks)
track 363: NOT RECOGNIZED — face never detected (4 looks)
track 370: IDENTIFIED as 16 (CANDIDATE, conf=0.78)
track 374: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 382: IDENTIFIED as 16 (UNKNOWN, conf=0.45)
track 384: IDENTIFIED as 23 (UNKNOWN, conf=0.58)
track 385: IDENTIFIED as 06 (UNKNOWN, conf=0.51)
track 387: IDENTIFIED as 06 (UNKNOWN, conf=0.42)
track 388: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 389: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 390: IDENTIFIED as 23 (UNKNOWN, conf=0.53)
track 393: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 394: IDENTIFIED as 23 (UNKNOWN, conf=0.29)
track 398: NOT RECOGNIZED — best sim 0.23 -> 04 (threshold 0.45)
track 399: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 401: IDENTIFIED as 06 (UNKNOWN, conf=0.43)
track 402: IDENTIFIED as 06 (UNKNOWN, conf=0.48)
track 404: IDENTIFIED as 21 (CANDIDATE, conf=0.63)
track 405: IDENTIFIED as 17 (CONFIRMED, conf=0.77)
track 407: IDENTIFIED as 21 (UNKNOWN, conf=0.45)
track 410: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 416: IDENTIFIED as 14 (UNKNOWN, conf=0.59)
track 417: IDENTIFIED as 23 (UNKNOWN, conf=0.40)
track 418: IDENTIFIED as 06 (UNKNOWN, conf=0.45)
track 419: NOT RECOGNIZED — best sim 0.33 -> 17 (threshold 0.45)
track 422: NOT RECOGNIZED — rejected: extreme yaw x2
