track 2: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 476: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 477: IDENTIFIED as 05 (UNKNOWN, conf=0.48)
track 478: IDENTIFIED as 11 (UNKNOWN, conf=0.52)
track 481: IDENTIFIED as 25 (UNKNOWN, conf=0.45)
track 484: IDENTIFIED as 04 (CANDIDATE, conf=0.82)
track 486: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 487: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 491: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 493: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 501: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 503: IDENTIFIED as 11 (UNKNOWN, conf=0.56)
track 504: IDENTIFIED as 05 (UNKNOWN, conf=0.36)
track 506: IDENTIFIED as 28 (LOCKED, conf=0.95)
track 507: IDENTIFIED as 29 (UNKNOWN, conf=0.34)
track 509: IDENTIFIED as 28 (CANDIDATE, conf=0.43)
track 511: IDENTIFIED as 11 (UNKNOWN, conf=0.36)
track 513: IDENTIFIED as 23 (UNKNOWN, conf=0.32)
track 517: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 519: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 520: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 521: IDENTIFIED as 11 (UNKNOWN, conf=0.33)
track 524: NOT RECOGNIZED — best sim 0.26 -> 02 (threshold 0.45)
track 525: IDENTIFIED as 29 (UNKNOWN, conf=0.60)
track 527: IDENTIFIED as 30 (REVIEW_REQUIRED, conf=0.79)
track 529: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 531: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 533: IDENTIFIED as 11 (UNKNOWN, conf=0.58)
track 534: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 538: IDENTIFIED as 11 (UNKNOWN, conf=0.55)
track 539: IDENTIFIED as 04 (CANDIDATE, conf=0.40)
track 541: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 544: IDENTIFIED as 28 (CANDIDATE, conf=0.50)
track 550: NOT RECOGNIZED — best sim 0.32 -> 05 (threshold 0.45)
track 551: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 552: IDENTIFIED as 01 (UNKNOWN, conf=0.45)
track 555: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 557: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 559: IDENTIFIED as 28 (CANDIDATE, conf=0.57)
track 561: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 571: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 572: IDENTIFIED as 25 (UNKNOWN, conf=0.45)
track 574: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 577: NOT RECOGNIZED — best sim 0.39 -> 05 (threshold 0.45)
track 579: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 584: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 585: IDENTIFIED as 28 (LOCKED, conf=0.97)
track 586: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 589: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 590: IDENTIFIED as 04 (CANDIDATE, conf=0.37)
track 591: IDENTIFIED as 03 (UNKNOWN, conf=0.23)
track 592: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 593: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 594: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 595: IDENTIFIED as 11 (UNKNOWN, conf=0.40)
track 596: IDENTIFIED as 28 (CANDIDATE, conf=0.45)
track 598: IDENTIFIED as 28 (CONFIRMED, conf=0.69)
track 603: IDENTIFIED as 05 (LOCKED, conf=0.92)
track 604: IDENTIFIED as 04 (CANDIDATE, conf=0.34)
track 605: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 606: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 609: IDENTIFIED as 19 (UNKNOWN, conf=0.65)
track 610: IDENTIFIED as 19 (UNKNOWN, conf=0.45)
track 611: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 614: IDENTIFIED as 28 (CANDIDATE, conf=0.49)
track 616: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 620: IDENTIFIED as 11 (UNKNOWN, conf=0.57)
track 621: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 622: IDENTIFIED as 11 (UNKNOWN, conf=0.57)
track 624: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 625: IDENTIFIED as 29 (UNKNOWN, conf=0.45)
track 628: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 630: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 631: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 632: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 637: NOT RECOGNIZED — best sim 0.17 -> 04 (threshold 0.45)
track 640: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 642: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 644: NOT RECOGNIZED — best sim 0.31 -> 28 (threshold 0.45)
track 645: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 646: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 648: NOT RECOGNIZED — best sim 0.25 -> 29 (threshold 0.45)
track 652: NOT RECOGNIZED — face never detected (3 looks)
track 653: IDENTIFIED as 11 (UNKNOWN, conf=0.60)
track 654: NOT RECOGNIZED — best sim 0.30 -> 28 (threshold 0.45)
track 657: NOT RECOGNIZED — best sim 0.29 -> 30 (threshold 0.45)
track 658: IDENTIFIED as 11 (UNKNOWN, conf=0.40)
track 660: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 661: IDENTIFIED as 11 (UNKNOWN, conf=0.64)
track 662: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 666: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 667: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 668: NOT RECOGNIZED — AMBIGUOUS 29 vs 28 (sim 0.54, margin 0.05)
track 669: IDENTIFIED as 28 (CANDIDATE, conf=0.69)
track 670: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 671: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 674: IDENTIFIED as 28 (UNKNOWN, conf=0.41)
track 675: NOT RECOGNIZED — rejected: extreme yaw x1
track 678: IDENTIFIED as 23 (UNKNOWN, conf=0.60)
track 680: IDENTIFIED as 23 (CANDIDATE, conf=0.56)
track 682: IDENTIFIED as 28 (CANDIDATE, conf=0.59)
track 683: IDENTIFIED as 28 (CANDIDATE, conf=0.63)
track 684: IDENTIFIED as 05 (UNKNOWN, conf=0.68)
track 685: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 688: IDENTIFIED as 05 (CANDIDATE, conf=0.68)
track 693: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 695: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 696: IDENTIFIED as 33 (CANDIDATE, conf=0.47)
track 697: NOT RECOGNIZED — face never detected (4 looks)
track 700: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 703: NOT RECOGNIZED — rejected: extreme yaw x4
track 705: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 707: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 709: IDENTIFIED as 04 (CANDIDATE, conf=0.71)
track 713: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 714: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 715: IDENTIFIED as 29 (CANDIDATE, conf=0.45)
track 716: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 718: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 719: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 720: IDENTIFIED as 28 (CANDIDATE, conf=0.58)
track 721: IDENTIFIED as 01 (UNKNOWN, conf=0.45)
track 725: IDENTIFIED as 05 (UNKNOWN, conf=0.23)
track 726: IDENTIFIED as 05 (LOCKED, conf=0.96)
track 727: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 729: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 730: IDENTIFIED as 30 (CANDIDATE, conf=0.52)
track 732: IDENTIFIED as 29 (LOCKED, conf=0.81)
track 734: IDENTIFIED as 28 (CANDIDATE, conf=0.76)
track 737: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 740: IDENTIFIED as 01 (UNKNOWN, conf=0.38)
track 743: IDENTIFIED as 04 (LOCKED, conf=0.95)
track 744: NOT RECOGNIZED — best sim 0.34 -> 11 (threshold 0.45)
track 746: IDENTIFIED as 11 (UNKNOWN, conf=0.58)
track 750: NOT RECOGNIZED — best sim 0.35 -> 11 (threshold 0.45)
track 751: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 753: IDENTIFIED as 05 (CONFIRMED, conf=0.81)
track 755: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.67)
track 758: IDENTIFIED as 01 (UNKNOWN, conf=0.28)
track 759: IDENTIFIED as 05 (LOCKED, conf=0.96)
track 761: NOT RECOGNIZED — face never detected (2 looks)
track 762: IDENTIFIED as 11 (UNKNOWN, conf=0.57)
track 764: IDENTIFIED as 28 (CANDIDATE, conf=0.74)
track 765: IDENTIFIED as 28 (LOCKED, conf=0.94)
track 768: NOT RECOGNIZED — best sim 0.23 -> 21 (threshold 0.45)
track 771: IDENTIFIED as 11 (UNKNOWN, conf=0.58)
track 773: IDENTIFIED as 28 (CANDIDATE, conf=0.68)
track 774: NOT RECOGNIZED — face never detected (10 looks)
track 776: IDENTIFIED as 30 (CANDIDATE, conf=0.54)
track 777: IDENTIFIED as 14 (CANDIDATE, conf=0.75)
track 781: IDENTIFIED as 11 (CANDIDATE, conf=0.64)
track 783: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 784: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 786: NOT RECOGNIZED — face never detected (2 looks)
track 791: NOT RECOGNIZED — face never detected (36 looks)
track 792: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 794: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 795: IDENTIFIED as 28 (CANDIDATE, conf=0.58)
track 796: IDENTIFIED as 28 (CANDIDATE, conf=0.59)
track 798: IDENTIFIED as 04 (CANDIDATE, conf=0.83)
track 799: NOT RECOGNIZED — face never detected (3 looks)
track 800: NOT RECOGNIZED — best sim 0.44 -> 04 (threshold 0.45)
track 801: IDENTIFIED as 28 (CANDIDATE, conf=0.56)
track 802: IDENTIFIED as 05 (UNKNOWN, conf=0.59)
track 803: IDENTIFIED as 28 (CONFIRMED, conf=0.79)
track 804: IDENTIFIED as 28 (CANDIDATE, conf=0.56)
track 805: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 806: NOT RECOGNIZED — face never detected (1 looks)
track 807: IDENTIFIED as 05 (UNKNOWN, conf=0.30)
track 808: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 809: IDENTIFIED as 01 (UNKNOWN, conf=0.45)
track 810: IDENTIFIED as 04 (CANDIDATE, conf=0.66)
track 813: NOT RECOGNIZED — best sim 0.27 -> 30 (threshold 0.45)
track 814: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 815: IDENTIFIED as 11 (UNKNOWN, conf=0.30)
track 816: IDENTIFIED as 01 (UNKNOWN, conf=0.45)
track 820: IDENTIFIED as 26 (CONFIRMED, conf=0.67)
track 821: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 822: IDENTIFIED as 04 (UNKNOWN, conf=0.45)
track 825: IDENTIFIED as 03 (UNKNOWN, conf=0.27)
track 826: IDENTIFIED as 30 (UNKNOWN, conf=0.30)
track 828: IDENTIFIED as 11 (UNKNOWN, conf=0.64)
track 832: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 834: IDENTIFIED as 28 (LOCKED, conf=0.94)
track 835: IDENTIFIED as 11 (UNKNOWN, conf=0.33)
track 837: NOT RECOGNIZED — face never detected (6 looks)
track 839: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 840: NOT RECOGNIZED — face never detected (9 looks)
track 841: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 843: NOT RECOGNIZED — face never detected (19 looks)
track 844: IDENTIFIED as 28 (CANDIDATE, conf=0.73)
track 845: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 851: NOT RECOGNIZED — face never detected (5 looks)
track 854: NOT RECOGNIZED — face never detected (5 looks)
track 856: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 860: IDENTIFIED as 28 (CANDIDATE, conf=0.63)
track 866: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 868: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 870: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 872: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 876: NOT RECOGNIZED — face never detected (23 looks)
track 877: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 878: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 879: IDENTIFIED as 11 (UNKNOWN, conf=0.23)
track 880: NOT RECOGNIZED — face never detected (5 looks)
track 883: IDENTIFIED as 28 (CANDIDATE, conf=0.59)
track 885: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 887: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 888: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 892: IDENTIFIED as 23 (CANDIDATE, conf=0.44)
track 893: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 894: NOT RECOGNIZED — face never detected (57 looks)
track 896: NOT RECOGNIZED — face never detected (8 looks)
track 897: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 898: IDENTIFIED as 05 (UNKNOWN, conf=0.40)
track 899: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 900: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 901: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 903: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 904: IDENTIFIED as 10 (UNKNOWN, conf=0.60)
track 905: IDENTIFIED as 19 (UNKNOWN, conf=0.62)
track 906: NOT RECOGNIZED — face never detected (64 looks)
track 909: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 910: IDENTIFIED as 28 (CANDIDATE, conf=0.54)
track 911: NOT RECOGNIZED — face never detected (34 looks)
track 912: NOT RECOGNIZED — face never detected (10 looks)
track 914: IDENTIFIED as 05 (CANDIDATE, conf=0.45)
track 915: IDENTIFIED as 26 (CANDIDATE, conf=0.51)
track 916: IDENTIFIED as 05 (UNKNOWN, conf=0.38)
track 920: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 921: IDENTIFIED as 05 (UNKNOWN, conf=0.36)
track 922: NOT RECOGNIZED — best sim 0.39 -> 28 (threshold 0.45)
track 923: IDENTIFIED as 11 (CANDIDATE, conf=0.46)
track 925: IDENTIFIED as 11 (UNKNOWN, conf=0.50)
track 926: NOT RECOGNIZED — face never detected (44 looks)
track 928: NOT RECOGNIZED — face never detected (178 looks)
track 930: IDENTIFIED as 28 (CANDIDATE, conf=0.62)
track 933: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
