track 1: IDENTIFIED as 28 (LOCKED, conf=0.83)
track 247: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 248: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 249: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 250: IDENTIFIED as 23 (UNKNOWN, conf=0.45)
track 252: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 255: IDENTIFIED as 30 (UNKNOWN, conf=0.35)
track 256: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 258: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 259: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 260: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 261: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 262: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 264: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 265: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 266: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 267: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 268: IDENTIFIED as 18 (REVIEW_REQUIRED, conf=0.67)
track 269: IDENTIFIED as 30 (UNKNOWN, conf=0.32)
track 270: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 271: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 272: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 273: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 274: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 275: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 276: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 277: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 280: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 281: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 282: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 283: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 284: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 286: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 287: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 288: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 290: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 291: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 293: IDENTIFIED as 28 (CONFIRMED, conf=0.81)
track 294: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 296: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 297: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 298: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 299: IDENTIFIED as 02 (UNKNOWN, conf=0.43)
track 300: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 301: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 302: IDENTIFIED as 30 (UNKNOWN, conf=0.36)
track 303: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 304: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 306: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 307: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 308: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 309: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 310: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 311: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 312: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 313: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 314: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 315: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 316: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 317: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 319: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 320: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 321: IDENTIFIED as 14 (UNKNOWN, conf=0.34)
track 324: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 325: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 326: IDENTIFIED as 16 (UNKNOWN, conf=0.23)
track 328: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 329: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 330: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 332: IDENTIFIED as 30 (UNKNOWN, conf=0.35)
track 333: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 336: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 337: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 339: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 340: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 341: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 342: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 343: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 344: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 345: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 346: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 347: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 348: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 349: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 350: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 351: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 352: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 353: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 357: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 359: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 361: IDENTIFIED as 23 (UNKNOWN, conf=0.15)
track 363: IDENTIFIED as 02 (UNKNOWN, conf=0.43)
track 364: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 365: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 366: IDENTIFIED as 02 (UNKNOWN, conf=0.43)
track 367: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 369: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 370: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 371: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 372: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 373: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 375: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 377: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 378: IDENTIFIED as 02 (UNKNOWN, conf=0.43)
track 379: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 380: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 381: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 382: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 383: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 384: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 385: IDENTIFIED as 02 (UNKNOWN, conf=0.30)
track 386: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 387: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 388: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 389: IDENTIFIED as 14 (UNKNOWN, conf=0.28)
track 390: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 391: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 392: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 395: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 396: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 397: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 398: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 399: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 400: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 402: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 403: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 404: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 406: IDENTIFIED as 30 (UNKNOWN, conf=0.42)
track 407: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 408: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 409: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 410: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 411: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 412: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 414: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 415: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 416: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 417: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 418: IDENTIFIED as 23 (UNKNOWN, conf=0.30)
track 419: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 421: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 422: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 423: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 424: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 425: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 426: IDENTIFIED as 30 (UNKNOWN, conf=0.58)
track 428: NOT RECOGNIZED — best sim 0.31 -> 24 (threshold 0.45)
track 431: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 432: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 433: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 434: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 435: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 436: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 439: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 440: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 442: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 443: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 444: IDENTIFIED as 28 (LOCKED, conf=0.94)
track 445: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 446: IDENTIFIED as 23 (UNKNOWN, conf=0.23)
track 449: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 450: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 453: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 454: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 455: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 456: IDENTIFIED as 10 (LOCKED, conf=0.82)
track 458: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.60)
track 459: IDENTIFIED as 28 (CANDIDATE, conf=0.64)
track 460: IDENTIFIED as 30 (UNKNOWN, conf=0.47)
track 461: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 463: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 464: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 465: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 467: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 468: IDENTIFIED as 23 (UNKNOWN, conf=0.47)
track 469: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.83)
track 470: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 471: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 474: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 476: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 477: IDENTIFIED as 28 (CANDIDATE, conf=0.46)
track 478: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 479: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 480: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 481: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 482: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 483: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 486: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 487: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 491: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 494: IDENTIFIED as 30 (UNKNOWN, conf=0.42)
track 495: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 497: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 498: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 503: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 506: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 507: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 509: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 510: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 511: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 512: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 516: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 518: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 519: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 521: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 524: IDENTIFIED as 28 (LOCKED, conf=0.80)
track 525: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 527: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 528: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 533: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 534: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 535: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 537: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 538: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 539: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 541: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 542: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 543: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 544: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 546: IDENTIFIED as 30 (UNKNOWN, conf=0.43)
track 547: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 550: IDENTIFIED as 16 (UNKNOWN, conf=0.23)
track 551: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 552: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 554: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 556: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 557: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
